dates,APARCH_FHS,APARCH_Normal,APARCH_sTUDENT,caviar_AD,caviar_AS,caviar_IG,caviar_SAV,EGARCH_FHS,EGARCH_norm,EGARCH_St,GARCH-FHS,Garch_Normal,Garch_Student,Historical-Simulation,Normal-Distribution,Riskmetrics,Weighted-Historical-Simulation
2000-03-28,-9.63371354,-9.200183184,-9.490610323,-7.019492808981578,-10.028541409892544,-11.373119667802246,-9.568474311192029,-11.465331121762846,-9.898987660578372,-11.22629348,-12.03084756,-0.087306007,-11.9734275,-10.263785615728576,-8.061261069082617,-8.342234302813306,-10.050474971562224
2000-03-29,-9.435494757,-8.995692298,-9.226654921,-7.010093517600053,-8.628204659524886,-10.290503110824297,-8.765611120322204,-11.386937987516731,-9.770305853798847,-11.08131676,-8.614250784,-0.071200389,-7.803072422,-9.538485338427746,-8.041997134831902,-7.755129752286357,-18.50735368546772
2000-03-30,-9.316454728,-8.876222248,-9.152975611,-7.011263790807368,-7.455602552400428,-11.798378329714522,-7.9599245973580866,-11.659024070888938,-10.0731259331047,-11.595889,-11.93211738,-0.099314635,-12.01915897,-7.964739819109048,-8.060782381289172,-8.335283188914252,-10.515681685646804
2000-03-31,-9.155604637,-8.771461482,-8.96853111,-6.898942497305735,-5.61222786222002,-10.135509036943317,-7.693087017173055,-11.415565522084147,-9.74337765619238,-11.10387546,-11.87763576,-0.096783119,-11.71148843,-9.922101445754494,-8.066747249558183,-7.67104648095756,-10.97396747032964
2000-04-03,-8.961342499,-8.58166673,-8.733839417,-6.898858166859276,-7.888148948577145,-5.8129667565388505,-8.554547997065765,-11.2884588501397,-9.602089255333992,-10.75472684,-11.94956287,-0.094378495,-11.33841726,-7.756226757580626,-8.055988501940174,-7.783339814520657,-13.029557562324252
2000-04-04,-8.736962509,-8.357491332,-8.421231944,-6.898771823874421,-6.677528954175135,-8.170238343389686,-6.247811265936711,-10.923978217524615,-9.286244397248025,-10.26843487,-11.73069617,-0.091411149,-10.95702158,-8.54857177098432,-8.055115033570948,-7.682730298196913,-11.743699421155608
2000-04-05,-8.90665555,-8.529571052,-8.680606992,-6.898688076516383,-5.43535160048995,-8.96041618966396,-7.686802913058917,-10.941217693939151,-9.226513961437076,-10.21418412,-11.61795592,-0.089762895,-10.75564224,-8.490523346727402,-8.076436171146558,-7.818746634675571,-9.254442666742968
2000-04-06,-8.660208818,-8.297225442,-8.349006723,-6.89859905507926,-6.468832085392156,-7.715590808053667,-8.02541290003564,-10.49898205607928,-8.911684325339278,-9.751262288,-11.27798107,-0.087098432,-10.39887447,-7.660400104889952,-8.056658665078118,-7.668677635123584,-11.664578735763085
2000-04-07,-8.566456428,-8.202949201,-8.326573465,-6.898512786309899,-5.929921286293687,-9.129614373271082,-9.810970342091933,-10.811711027717015,-9.286321509774451,-10.47212061,-11.35737611,-0.090045178,-10.8630788,-9.68231687353734,-8.073133345055526,-8.403048301556042,-10.746768200511363
2000-04-10,-8.425051155,-8.054001425,-8.175551414,-6.89842401787492,-8.08186499061675,-7.77611036949376,-9.20847114577368,-10.82718890765287,-9.292672818825285,-10.55523606,-11.25695316,-0.088979692,-10.79154452,-8.636022955254761,-8.067457680680304,-7.937538133744749,-10.203542177919909
2000-04-11,-8.189484497,-7.819413434,-7.832177496,-6.898335682863462,-4.99496148981783,-5.989866580347285,-6.647616535991058,-10.466143036359563,-8.92565302148085,-10.02170808,-11.08601492,-0.085995982,-10.44195376,-8.628421633205129,-8.051333556267442,-7.683824333626537,-10.273821396690632
2000-04-12,-8.087198686,-7.718483168,-7.786690532,-6.89824827101216,-8.577636199810684,-9.985813541443523,-7.031660953596541,-10.625654493222406,-9.13923316986015,-10.44609397,-11.01425252,-0.08724023,-10.66642743,-9.713524946745958,-8.065288353338676,-8.190600744220655,-10.67656703277218
2000-04-13,-8.092909934,-7.758424469,-7.844364026,-6.898155146123734,-4.644597096982247,-8.53062991471124,-7.665001173043468,-10.487591796675911,-8.920250700055233,-10.14214294,-10.84874238,-0.085120122,-10.40641041,-8.0344182853426,-8.076548191037986,-7.7659241463119075,-13.227595448029309
2000-04-14,-8.101065683,-7.739851134,-7.810073737,-6.898064046957301,-7.389587945469605,-7.741490738117438,-6.835943349861829,-10.198662164727995,-8.675551314321508,-9.786150086,-10.60786738,-0.091375567,-10.11006972,-7.769875541821758,-8.07900504553696,-7.7442301449031055,-12.330414252935473
2000-04-17,-8.335381666,-7.967757082,-8.159005734,-6.897977307736043,-5.417161016864025,-5.976530018330573,-7.936656184485859,-10.212120996705831,-8.665343198619034,-9.823873542,-10.47306739,-0.08188742,-10.03927139,-8.972602746026997,-8.099636797546715,-7.90393470271731,-10.910786136671112
2000-04-18,-8.393504648,-7.992446744,-8.185572773,-6.8978795806600655,-6.30776047350376,-7.302125016784038,-7.15489604621485,-9.948232257187994,-8.463256171113935,-9.545447399,-10.2006726,-0.059876947,-9.770988194,-9.0017253893998,-8.109395292934195,-7.760234981973442,-12.457768179577217
2000-04-19,-8.179114956,-7.787723775,-7.901685381,-6.89779033478283,-5.935440369893708,-7.863680413764579,-6.485376521616604,-9.608518406472516,-8.201421305851172,-9.19989102,-6.797395996,-0.056224518,-6.943409413,-9.049913846104191,-8.10649111962544,-7.732479290156027,-8.990454425450105
2000-04-20,-8.058368118,-7.667764672,-7.807441881,-6.897696827289698,-8.51204694444482,-7.804215603551659,-8.412822598398241,-9.692711191869778,-8.317049332782082,-9.481650598,-8.417039854,-0.069917896,-8.52020687,-8.286887957478518,-8.104393024412468,-8.027332744484566,-9.824455396556951
2000-04-24,-7.841400937,-7.509751603,-7.551412813,-6.892326301864615,-6.600270783418848,-7.25610241327939,-6.381198994141559,-9.41336549004205,-8.02858685341003,-8.986266745,-9.94923838,-0.059207574,-9.246206545,-8.18349023494286,-8.089321130760759,-7.707922875200386,-11.756863134760422
2000-04-25,-7.924312719,-7.580737348,-7.659566156,-6.89750541364026,-6.846738411585681,-5.915137621179285,-6.606918762103134,-9.246895658423394,-7.876583388068087,-8.80661,-7.142913085,-0.058625223,-7.118883198,-9.520273474837232,-8.099566766558203,-7.771654224099748,-9.64101817111249
2000-04-26,-7.842213253,-7.501555115,-7.654427962,-6.897407078660181,-9.57169092148968,-9.53645054912256,-7.243780844304099,-9.607656699320454,-8.267873317457248,-9.474820681,-9.870621086,-0.078416992,-9.579176357,-9.15941674349475,-8.119780811128415,-8.358757347338473,-11.186407621634505
2000-04-27,-8.130855765,-7.834336319,-8.164405309,-6.897307343226465,-7.30204317129782,-8.98603257007925,-9.487868981223397,-9.885505270366249,-8.386011396461026,-9.679853603,-9.960491387,-0.07868192,-9.668483818,-8.6417325220222,-8.153491761842343,-8.083151848386583,-9.187229941107942
2000-04-28,-8.180849112,-7.836557539,-8.149504612,-6.897209135293909,-8.853152877263765,-8.622338761933218,-7.07271431296439,-9.647386244859629,-8.209080954667336,-9.39789216,-9.986887374,-0.076717596,-9.403320848,-10.200793502798009,-8.162659662649743,-7.804549611667613,-10.04662466733222
2000-05-01,-7.949220393,-7.616201205,-7.821079294,-6.897112366588583,-6.724482961288774,-6.072746261935705,-6.658248130834784,-9.223463095611088,-7.885361696457435,-8.981460609,-9.620611698,-0.056920172,-9.115328226,-8.624136022831737,-8.161362387623003,-7.771817717198648,-9.716248568373484
2000-05-02,-7.897682469,-7.565040047,-7.873558444,-6.8966141729527,-5.156540398347043,-9.1517101589317,-9.973336636203136,-9.850120931974818,-8.490327841034592,-9.865128322,-10.22423718,-0.081418904,-9.922901952,-7.928599972583553,-8.199290957943216,-8.77864810308923,-10.670221367026468
2000-05-03,-8.060463782,-7.776581649,-8.188015799,-6.896924409079243,-5.450607255187666,-8.814511869212472,-8.968741970786526,-9.962839134717196,-8.455685738625697,-9.830818229,-10.15992998,-0.08261228,-9.814623294,-9.48118637785369,-8.221970791574648,-8.012115899175603,-11.78141262168018
2000-05-04,-8.651784129,-8.380537673,-9.112246085,-6.8932634190705695,-7.078092570144858,-10.230914493302484,-10.315671810718596,-10.564299360973637,-8.934714914592327,-10.49850943,-10.53154395,-0.08504169,-10.36132551,-11.533876251486898,-8.304372684781317,-8.738668275997371,-9.094816898120758
2000-05-05,-8.415252931,-8.161638144,-8.772770961,-6.888603488358895,-7.269861832329123,-2.0382219612933472e+40,-7.646592164676483,-10.103166086817575,-8.652959994651287,-10.14329977,-10.10131387,-0.082683609,-10.12494829,-8.569112683137439,-8.301059211258497,-7.914889950126085,-12.001086985710788
2000-05-08,-8.166299751,-7.914625003,-8.376511468,-6.863110702765412,-6.350034768327239,-9.214328407490925,-5.911583679855337,-9.776418612017974,-8.323288217205674,-9.647780141,-10.48466276,-0.080284769,-9.811716899,-8.674232766976411,-8.292652611470707,-7.874551995150048,-15.793237515397673
2000-05-09,-7.956774607,-7.70747508,-8.069717068,-6.729711386994458,-6.830196865143186,-8.058777835157624,-6.69217332266123,-9.447984882200316,-8.066536846478,-9.317679001,-10.16370677,-0.078300654,-9.564990383,-8.209343187156744,-8.278960717790948,-7.882508448225167,-9.873152336021349
